model,attribution,joint_precision,joint_n_precision,joint_recall,joint_n_recall,joint_f1,joint_n_f1,joint_iou,joint_n_iou,joint_mass_captured,joint_n_mass_captured,joint_k,joint_n_k,joint_rank_corr,joint_n_rank_corr,joint_overlap,joint_n_overlap,joint_top1_hit,joint_n_top1_hit,frame_precision,frame_n_precision,frame_recall,frame_n_recall,frame_f1,frame_n_f1,frame_iou,frame_n_iou,frame_mass_captured,frame_n_mass_captured,frame_k,frame_n_k,frame_rank_corr,frame_n_rank_corr,frame_overlap,frame_n_overlap,frame_top1_hit,frame_n_top1_hit,frame_localisation_error,frame_n_localisation_error
saqa_stgcn,integrated_gradients,0.5094696647022229,129.0,0.5094696647022229,129.0,0.5094696647022229,129.0,0.40376655947791373,129.0,0.48616286493558025,129.0,9.682170542635658,129.0,-0.2404863560103667,120.0,0.4752302429304002,120.0,0.0,120.0,0.5843044301971708,129.0,0.5843044301971708,129.0,0.5843044301971708,129.0,0.4306217651550964,129.0,0.5802763538421782,129.0,27.209302325581394,129.0,0.10003876163333134,129.0,0.6040437534594597,129.0,0.06201550387596899,129.0,0.04756272890588757,129.0
saqa_stgcn,occlusion,0.528196846220102,129.0,0.528196846220102,129.0,0.528196846220102,129.0,0.42561755769690107,129.0,0.5032955255032328,129.0,9.682170542635658,129.0,-0.1738222798900115,112.0,0.3143314197350627,120.0,0.0,120.0,0.5665733882272617,129.0,0.5665733882272617,129.0,0.5665733882272617,129.0,0.41492269950418725,129.0,0.5698978511267334,129.0,27.209302325581394,129.0,0.049639550696835275,121.0,0.5328843746440931,129.0,0.015503875968992248,129.0,0.11633701431761995,121.0
saqa_stgcn,gradient,0.5275219612428915,129.0,0.5275219612428915,129.0,0.5275219612428915,129.0,0.4181318921742998,129.0,0.5321960540904503,129.0,9.682170542635658,129.0,-0.10600526123642694,120.0,0.5028495979927345,120.0,0.058333333333333334,120.0,0.5883125538170577,129.0,0.5883125538170577,129.0,0.5883125538170577,129.0,0.43049965425804315,129.0,0.582400719860107,129.0,27.209302325581394,129.0,0.053107391063315676,129.0,0.6708292635515058,129.0,0.015503875968992248,129.0,0.05051555642259918,129.0
saqa_stgcn,random,0.5550960452123243,129.0,0.5550960452123243,129.0,0.5550960452123243,129.0,0.4441687410223662,129.0,0.5583196614278861,129.0,9.682170542635658,129.0,0.000984745027850901,120.0,0.5455198000949364,120.0,0.03333333333333333,120.0,0.5589933211323267,129.0,0.5589933211323267,129.0,0.5589933211323267,129.0,0.40502970751517936,129.0,0.561362264622149,129.0,27.209302325581394,129.0,-0.0018212851522860802,129.0,0.6418406536491384,129.0,0.0,129.0,0.04053659170878741,129.0
saqa_stgcn,integrated_gradients_untrained,0.6902430902430903,129.0,0.6902430902430903,129.0,0.6902430902430903,129.0,0.5638836982544233,129.0,0.7239535905400135,129.0,9.682170542635658,129.0,0.2698732770556954,120.0,0.6781359441083853,120.0,0.475,120.0,0.6138829517665433,129.0,0.6138829517665433,129.0,0.6138829517665433,129.0,0.4610467123568547,129.0,0.600552170748344,129.0,27.209302325581394,129.0,0.14839220993069158,129.0,0.5596887915662706,129.0,0.11627906976744186,129.0,0.05608854486984075,129.0
saqa_stgcn,edge_importance_global,0.5267020662369499,129.0,0.5267020662369499,129.0,0.5267020662369499,129.0,0.40980315474159523,129.0,0.481306484791602,129.0,9.682170542635658,129.0,-0.2249096567810833,120.0,0.59725457607455,120.0,0.0,120.0,,,,,,,,,,,,,,,,,,,,
stgcn_dense,integrated_gradients,0.543070452372778,129.0,0.543070452372778,129.0,0.543070452372778,129.0,0.4232992649545317,129.0,0.5259732575115809,129.0,9.682170542635658,129.0,-0.17642288448356228,120.0,0.5012634361954931,120.0,0.0,120.0,0.5809838195313224,129.0,0.5809838195313224,129.0,0.5809838195313224,129.0,0.4269912966075675,129.0,0.5790623825409165,129.0,27.209302325581394,129.0,0.06825157379498567,129.0,0.5150924397336627,129.0,0.03875968992248062,129.0,0.11082927258942071,129.0
stgcn_dense,occlusion,0.5492926324321673,129.0,0.5492926324321673,129.0,0.5492926324321673,129.0,0.4412688922264846,129.0,0.5267121844806221,129.0,9.682170542635658,129.0,-0.14523325688056804,111.0,0.339393844089895,120.0,0.0,120.0,0.5731276116083547,129.0,0.5731276116083547,129.0,0.5731276116083547,129.0,0.42125197545390214,129.0,0.5703169069194916,129.0,27.209302325581394,129.0,0.0644257643058572,120.0,0.5265091176686748,129.0,0.015503875968992248,129.0,0.14578123440214216,120.0
stgcn_dense,gradient,0.5361974158485786,129.0,0.5361974158485786,129.0,0.5361974158485786,129.0,0.4274541400738391,129.0,0.5290069962374293,129.0,9.682170542635658,129.0,-0.04793607637496179,120.0,0.465790462762836,120.0,0.03333333333333333,120.0,0.5850292538852702,129.0,0.5850292538852702,129.0,0.5850292538852702,129.0,0.42836758259970525,129.0,0.584729427356794,129.0,27.209302325581394,129.0,0.08138290411575144,129.0,0.5803209787045198,129.0,0.03875968992248062,129.0,0.0839633273301615,129.0
stgcn_dense,random,0.5550960452123243,129.0,0.5550960452123243,129.0,0.5550960452123243,129.0,0.4441687410223662,129.0,0.5583196614278861,129.0,9.682170542635658,129.0,0.000984745027850901,120.0,0.5455198000949364,120.0,0.03333333333333333,120.0,0.5589933211323267,129.0,0.5589933211323267,129.0,0.5589933211323267,129.0,0.40502970751517936,129.0,0.561362264622149,129.0,27.209302325581394,129.0,-0.0018212851522860802,129.0,0.6418406536491384,129.0,0.0,129.0,0.04053659170878741,129.0
